uid,vid,quiz_time,used_time(s),grade
2020213338,5,2022-09-17 10:20:23,78,100
2020213338,6,2022-10-30 20:56:58,12,100
2020213338,7,2022-10-30 20:54:33,86,100
2020213338,8,2022-10-30 21:07:28,40,75
2020213338,9,2022-10-30 21:17:05,14,100
2020213338,10,2022-10-30 21:33:27,126,75
2020213338,11,2022-10-31 09:23:29,19,75
2020213338,12,2022-11-20 16:40:11,43,100
2020213338,13,2022-11-20 16:46:17,28,100
2020213338,15,2022-11-20 16:57:04,106,75
2020213338,16,2022-12-16 10:21:43,31,100
2020213338,17,2022-12-16 10:30:23,154,100
2020213338,18,2022-12-16 11:26:33,31,100
2020213338,19,2022-12-17 09:43:31,32,100
2020213338,20,2022-12-17 10:02:22,26,100
2020213338,21,2022-12-17 16:51:04,10,100
2020213338,22,2022-12-17 16:58:18,35,75
2020213338,23,2022-12-17 17:03:23,18,100
2020213341,1,2022-09-12 00:09:29,250,100
2020213341,2,2022-09-12 10:36:24,12,100
2020213341,3,2022-09-12 12:43:20,185,75
2020213341,4,2022-09-12 13:24:43,17,100
2020213341,5,2022-09-12 13:27:37,138,100
2020213341,6,2022-12-03 22:07:16,562,100
2020213341,7,2022-12-03 22:32:45,674,75
2020213341,8,2022-12-03 23:30:09,30,100
2020213341,9,2022-12-04 11:30:31,340,100
2020213341,10,2022-12-04 11:44:37,264,100
2020213341,11,2022-12-04 12:02:37,108,50
2020213341,12,2022-12-04 12:24:01,52,100
2020213341,13,2022-12-04 12:25:26,49,100
2020213341,15,2022-12-04 12:27:51,43,100
2020213341,16,2022-12-04 12:29:40,41,100
2020213341,17,2022-12-04 12:31:03,24,100
2020213341,18,2022-12-04 12:31:53,48,100
2020213341,19,2022-12-04 12:33:15,86,100
2020213341,20,2022-12-04 12:35:21,16,100
2020213341,21,2022-12-04 12:37:42,18,100
2020213341,22,2022-12-04 12:41:29,100,100
2020213341,23,2022-12-04 12:45:17,17,100
2020213342,1,2022-09-11 15:56:28,49,100
2020213342,2,2022-09-11 15:57:46,27,100
2020213342,3,2022-09-11 15:17:53,220,100
2020213342,4,2022-09-11 15:29:01,289,100
2020213342,5,2022-09-11 15:47:27,507,100
2020213342,6,2022-10-11 22:55:23,240,100
2020213342,7,2022-10-11 23:08:38,317,100
2020213342,8,2022-10-12 14:48:47,233,75
2020213342,9,2022-10-31 09:40:27,9,100
2020213342,10,2022-10-31 09:49:57,86,100
2020213342,11,2022-10-31 12:59:55,9,100
2020213342,12,2022-10-31 13:02:28,5,100
2020213342,13,2022-10-31 12:27:07,5,100
2020213342,14,2022-10-31 12:38:04,371,100
2020213342,15,2022-11-21 16:12:33,140,75
2020213342,16,2022-11-21 16:37:34,10,100
2020213342,17,2022-11-21 17:57:35,5,100
2020213342,18,2022-11-27 21:29:18,55,100
2020213342,19,2022-11-27 22:54:27,12,100
2020213342,20,2022-11-27 23:06:03,6,100
2020213342,21,2022-11-30 23:12:52,474,100
2020213342,22,2022-11-30 23:35:10,7,100
2020213342,23,2022-11-30 23:38:03,309,100
2020213343,1,2022-09-11 15:59:01,58,100
2020213343,2,2022-09-11 22:25:31,8,100
2020213343,3,2022-09-11 23:06:30,134,75
2020213343,4,2022-09-11 23:18:45,105,50
2020213343,5,2022-09-11 23:38:44,202,100
2020213343,6,2022-10-31 16:51:11,343,100
2020213343,7,2022-11-01 23:21:21,124,100
2020213343,8,2022-11-02 15:16:49,150,100
2020213343,9,2022-11-02 15:28:10,169,50
2020213343,10,2022-11-12 16:30:16,299,50
2020213343,11,2022-11-12 16:36:45,109,75
2020213343,12,2022-11-12 16:48:43,215,100
2020213343,13,2022-11-12 16:58:50,217,100
2020213343,15,2022-11-20 14:33:28,279,75
2020213343,16,2022-11-20 15:51:00,242,75
2020213343,17,2022-11-20 16:03:45,230,100
2020213343,18,2022-11-20 16:16:27,190,75
2020213343,19,2022-11-20 16:41:11,428,50
2020213343,20,2022-11-20 16:52:26,155,100
2020213343,21,2022-12-04 15:51:41,8,100
2020213343,22,2022-12-04 15:59:43,121,75
2020213343,23,2022-12-04 16:09:46,124,100
2020213344,1,2022-09-11 15:41:43,304,75
2020213344,2,2022-09-11 15:57:13,649,50
2020213344,3,2022-09-11 16:14:30,376,25
2020213344,4,2022-09-11 16:31:20,418,100
2020213344,5,2022-09-11 16:48:31,290,100
2020213344,6,2022-10-29 15:15:42,538,100
2020213344,7,2022-10-29 15:36:45,627,50
2020213344,8,2022-10-29 15:56:33,328,100
2020213344,9,2022-10-29 16:12:37,173,75
2020213344,10,2022-12-14 18:26:55,202,25
2020213344,11,2022-12-14 19:02:44,227,75
2020213344,12,2022-12-14 19:22:28,121,100
2020213344,13,2022-12-14 19:33:54,239,100
2020213344,15,2022-12-14 19:57:36,170,100
2020213344,16,2022-12-14 20:39:47,175,50
2020213344,17,2022-12-14 20:49:34,25,50
2020213344,18,2022-12-14 20:58:18,34,25
2020213344,19,2022-12-16 13:40:59,23,75
2020213344,20,2022-12-16 12:14:05,65,50
2020213344,21,2022-12-16 12:50:43,126,75
2020213344,22,2022-12-16 13:01:59,54,75
2020213344,23,2022-12-16 13:08:39,24,25
2020213345,1,2022-09-11 16:12:05,246,100
2020213345,2,2022-09-11 16:21:31,283,75
2020213345,3,2022-09-11 16:33:54,325,100
2020213345,4,2022-09-11 16:44:47,372,75
2020213345,5,2022-09-11 17:02:00,437,100
2020213345,6,2022-11-23 17:52:55,56,100
2020213345,7,2022-11-23 17:59:52,77,100
2020213345,8,2022-11-23 18:06:32,64,100
2020213345,9,2022-11-23 18:14:06,78,100
2020213345,10,2022-12-18 12:02:00,194,100
2020213345,11,2022-12-18 12:13:52,76,100
2020213345,12,2022-11-23 18:23:30,47,100
2020213345,13,2022-11-23 18:29:25,196,75
2020213345,15,2022-11-23 19:54:17,285,100
2020213345,16,2022-11-23 20:11:04,381,50
2020213345,17,2022-12-18 12:19:50,81,100
2020213345,18,2022-12-18 12:26:42,58,100
2020213345,22,2022-12-18 12:34:17,175,75
2020213347,1,2022-09-12 10:40:22,79,100
2020213347,2,2022-09-12 11:07:59,83,75
2020213347,3,2022-09-12 11:36:45,226,75
2020213347,4,2022-09-12 12:21:44,63,100
2020213347,5,2022-09-12 12:46:28,121,50
2020213347,6,2022-10-31 11:13:56,50,75
2020213347,7,2022-10-31 11:36:53,166,100
2020213347,8,2022-10-31 12:56:38,56,100
2020213347,9,2022-11-01 14:13:20,19,100
2020213347,10,2022-11-01 15:22:42,342,75
2020213347,11,2022-11-01 16:11:34,35,50
2020213347,12,2022-11-01 16:31:25,55,100
2020213347,13,2022-11-01 17:06:47,115,100
2020213347,15,2022-12-26 14:35:40,63,100
2020213347,16,2022-12-26 16:08:16,192,75
2020213347,17,2022-12-26 16:19:58,87,75
2020213347,18,2022-12-26 16:31:30,87,75
2020213347,19,2022-12-26 16:56:34,176,75
2020213347,20,2022-12-26 17:03:46,31,100
2020213347,21,2022-12-26 17:18:59,29,100
2020213347,22,2022-12-26 17:29:14,38,75
2020213347,23,2022-12-26 17:37:00,59,100
2020213348,1,2022-09-11 20:11:28,50,100
2020213348,2,2022-09-11 20:30:52,37,100
2020213348,3,2022-09-11 21:12:00,734,75
2020213348,4,2022-09-11 22:02:02,43,100
2020213348,5,2022-09-11 22:21:18,19,100
2020213348,6,2022-11-05 14:33:22,119,100
2020213348,7,2022-11-05 19:56:56,42,100
2020213348,8,2022-11-05 20:06:10,74,100
2020213348,9,2022-11-05 20:18:43,326,100
2020213348,10,2022-11-06 15:24:37,68,50
2020213348,11,2022-11-06 19:10:33,28,75
2020213348,12,2022-11-06 19:52:28,46,100
2020213348,13,2022-12-13 09:40:39,30,100
2020213348,15,2022-12-15 00:24:27,16,100
2020213348,16,2022-12-15 18:00:42,19,100
2020213348,17,2022-12-15 20:29:52,13,100
2020213348,18,2022-12-15 23:42:23,11,100
2020213348,19,2022-12-16 00:30:24,15,100
2020213348,20,2022-12-16 12:34:53,22,100
2020213348,21,2022-12-16 12:56:42,12,100
2020213348,22,2022-12-16 13:14:30,21,75
2020213348,23,2022-12-16 13:28:27,196,100
2020213351,1,2022-12-08 16:58:09,283,100
2020213351,2,2022-12-08 17:05:48,81,100
2020213351,3,2022-12-08 17:10:49,239,75
2020213351,4,2022-12-08 17:19:19,84,75
2020213351,5,2022-12-08 17:26:30,137,100
2020213351,6,2022-12-19 10:08:01,101,100
2020213351,7,2022-12-19 10:14:12,135,25
2020213351,8,2022-12-19 10:21:04,42,75
2020213351,9,2022-12-19 10:26:57,37,100
2020213351,10,2022-12-19 10:32:45,150,50
2020213351,11,2022-12-19 10:42:21,50,75
2020213351,12,2022-12-19 10:48:00,420,75
2020213351,13,2022-12-19 10:58:38,39,75
2020213351,15,2022-12-19 11:06:14,45,50
2020213352,1,2022-09-11 14:19:25,59,75
2020213352,2,2022-09-11 14:27:02,27,100
2020213352,3,2022-09-11 14:36:30,20,100
2020213352,4,2022-09-11 14:58:35,99,75
2020213352,5,2022-09-11 15:21:39,259,100
2020213352,6,2022-11-05 20:20:43,386,50
2020213352,7,2022-11-05 20:36:36,222,75
2020213352,8,2022-11-05 20:50:18,390,100
2020213352,9,2022-11-23 21:27:39,184,100
2020213352,10,2022-12-18 13:13:48,518,100
2020213352,11,2022-12-18 13:38:43,261,100
2020213352,12,2022-11-23 21:44:59,389,100
2020213352,13,2022-11-23 21:58:06,476,100
2020213352,15,2022-11-23 22:14:52,278,100
2020213352,16,2022-11-23 22:31:05,359,100
2020213352,17,2022-12-18 14:39:11,195,100
2020213352,18,2022-12-18 14:51:49,131,100
2020213352,19,2022-12-18 15:16:30,173,75
2020213352,20,2022-12-18 15:24:06,293,75
2020213352,21,2022-12-18 14:11:34,193,100
2020213352,22,2022-12-18 14:27:43,264,100
2020213352,23,2022-12-18 13:48:38,96,100
2020213353,1,2022-09-11 11:08:41,435,75
2020213353,2,2022-09-11 11:26:39,7,75
2020213353,3,2022-09-11 11:44:24,46,100
2020213353,4,2022-09-11 11:53:11,8,75
2020213353,5,2022-09-11 12:05:24,102,100
2020213353,6,2022-10-29 16:50:28,323,100
2020213353,7,2022-10-29 17:11:41,339,50
2020213353,8,2022-10-29 17:23:51,16,100
2020213353,9,2022-10-29 17:24:33,520,75
2020213353,10,2022-10-29 17:44:27,198,100
2020213353,11,2022-10-29 18:27:17,13,100
2020213353,12,2022-10-29 18:33:07,8,100
2020213353,13,2022-10-29 18:33:34,485,100
2020213353,14,2022-10-29 18:47:41,64,100
2020213353,15,2022-11-19 11:17:25,167,100
2020213353,16,2022-11-19 12:57:19,504,50
2020213353,17,2022-11-19 13:13:31,308,100
2020213353,18,2022-11-19 13:24:07,6,100
2020213353,19,2022-11-19 13:32:41,79,75
