uid,cid,ref_diff,ref_len
2021214152,2,9480,132
2021214152,3,443160,147
2021214152,4,528720,186
2021214152,5,592860,129
2021214152,6,360480,310
2021214152,7,1474440,139
2021214152,7,1474620,114
2021214152,8,265260,97
2021214153,1,260700,145
2021214153,2,534180,179
2021214153,3,7676040,173
2021214153,4,7071600,158
2021214153,5,6468180,315
2021214153,6,5866200,356
2021214153,7,5261400,188
2021214153,7,5261700,202
2021214153,8,4052520,145
2021214153,9,3450420,269
2021214153,10,2846100,210
2021214153,11,2241720,214
2021214153,12,1637340,174
2021214153,13,1032780,211
2021214155,1,145080,163
2021214155,2,359820,111
2021214155,3,451320,170
2021214155,4,528300,258
2021214155,5,587340,104
2021214155,6,587580,95
2021214155,7,2738580,258
2021214155,7,2740740,151
2021214155,10,836940,206
2021214155,11,232620,236
2021214156,1,245100,218
2021214156,3,1187160,460
2021214156,4,586320,225
2021214157,1,5160,228
2021214157,2,530700,96
2021214157,3,1648260,74
2021214157,5,438840,74
2021214157,6,2176740,115
2021214157,7,1572120,102
2021214157,7,5113140,75
2021214157,10,2694060,65
2021214157,11,2089320,73
2021214157,12,1484640,91
2021214157,13,879900,76
2021214158,1,60360,339
2021214158,2,238860,136
2021214158,3,165540,631
2021214158,4,598920,117
2021214158,5,341640,242
2021214158,6,68640,122
2021214158,7,1565880,157
2021214158,8,357780,172
2021214158,9,277980,89
2021214158,10,360900,171
2021214158,11,319560,130
2021214158,12,64500,146
2021214158,13,1210140,98
2021214159,1,147480,189
2021214159,2,161580,318
2021214159,3,140040,313
2021214159,4,274860,160
2021214159,5,158400,214
2021214159,6,7560,219
2021214159,7,139740,152
2021214159,10,235260,122
2021214159,11,599220,298
2021214159,12,231780,284
2021214159,7,3967500,164
2021214159,9,2153400,97
2021214159,13,272400,306
2021214160,1,6060,210
2021214160,2,1380540,135
2021214160,3,775920,144
2021214160,4,444420,180
2021214160,5,249900,263
2021214160,6,342960,146
2021214160,7,3972420,194
2021214160,8,2763660,238
2021214160,9,2159760,272
2021214161,1,662880,130
2021214161,2,622620,144
2021214161,3,18360,189
2021214161,4,26580,164
2021214161,5,23640,41
2021214161,6,1920,243
2021214161,7,104640,134
2021214161,7,1286160,107
2021214161,8,76920,437
2021214161,9,20280,466
