uid,vid,paused,skip_back,skip_forward,rate_change,watch_num
2020213347,8,0,0,0,1,1
2020213347,9,8,5,1,0,1
2020213347,10,0,0,4,2,1
2020213347,11,17,4,0,0,1
2020213347,12,10,2,1,0,1
2020213347,13,13,6,1,0,1
2020213347,15,0,0,0,0,1
2020213347,16,0,0,0,0,1
2020213347,17,0,0,0,0,1
2020213347,18,2,0,0,0,1
2020213347,19,4,3,1,0,1
2020213347,20,0,0,0,0,1
2020213347,21,3,4,0,0,1
2020213347,22,6,5,0,0,1
2020213347,23,1,1,0,0,1
2020213348,1,1,2,3,0,4
2020213348,2,20,13,7,0,2
2020213348,3,8,8,2,0,1
2020213348,4,17,13,1,0,2
2020213348,5,5,8,13,0,2
2020213348,6,0,0,0,1,1
2020213348,7,2,1,2,0,2
2020213348,8,0,1,1,3,1
2020213348,9,2,1,2,2,1
2020213348,10,0,0,0,2,2
2020213348,11,0,0,2,0,2
2020213348,12,6,6,1,0,2
2020213348,13,0,0,1,0,1
2020213348,15,3,7,9,0,2
2020213348,16,5,9,18,0,4
2020213348,18,4,7,1,0,1
2020213348,19,15,22,7,0,1
2020213348,20,6,2,0,0,1
2020213348,21,9,10,1,0,2
2020213348,22,16,8,0,0,1
2020213348,23,6,0,1,0,1
2020213351,1,0,0,2,0,1
2020213351,2,0,0,0,0,1
2020213351,3,0,0,1,0,1
2020213351,4,0,0,0,0,1
2020213351,5,0,0,0,0,1
2020213351,6,11,0,2,0,1
2020213351,7,0,0,2,0,1
2020213351,8,0,0,1,0,1
2020213351,9,0,0,4,0,1
2020213351,10,0,0,1,0,1
2020213351,11,0,0,3,0,1
2020213351,12,0,0,0,0,1
2020213351,13,0,0,0,1,1
2020213351,15,0,0,0,1,1
2020213352,1,15,1,0,0,1
2020213352,2,3,0,0,0,1
2020213352,3,0,0,0,0,1
2020213352,4,10,4,2,0,1
2020213352,5,5,2,1,0,1
2020213352,6,24,0,0,0,1
2020213352,7,0,0,0,0,1
2020213352,8,0,0,0,0,1
2020213352,9,0,0,0,0,1
2020213352,10,1,0,0,2,1
