,,event,position,timestamp,status,rate
103,2,0,1,14,1,1
103,3,3,221,26,1,1
104,0,0,601,9,1,1
104,1,2,225,13,1,1
104,2,3,569,16,1,1
104,3,3,628,21,1,1
104,4,1,628,21,0,1
107,0,0,0,1,1,1
108,0,0,0,1,1,1
109,0,0,0,23,1,1.0
109,1,4,7,31,1,1.5
110,0,0,0,1,1,1.0
110,1,4,4,6,1,1.25
111,0,0,0,1,1,1
112,0,0,0,1,1,1
112,1,2,104,107,1,1
112,2,1,104,107,0,1
112,3,0,104,121,1,1
112,4,2,157,182,1,1
112,5,1,262,288,0,1
112,6,0,262,306,1,1
112,7,1,267,311,0,1
112,8,0,267,328,1,1
112,9,1,284,345,0,1
112,10,0,284,354,1,1
113,0,0,0,1,1,1.0
113,1,1,105,105,0,1.0
113,2,0,105,126,1,1.0
113,3,4,409,429,1,1.25
114,0,0,0,1,1,1
114,1,1,41,41,0,1
114,2,0,41,96,1,1
114,3,1,274,328,0,1
114,4,0,274,502,1,1
114,5,1,287,515,0,1
114,6,0,287,532,1,1
114,7,1,296,541,0,1
114,8,0,296,549,1,1
114,9,1,322,575,0,1
114,10,0,322,682,1,1
115,0,0,0,1,1,1
116,0,0,0,1,1,1
116,1,1,34,35,0,1
116,2,0,34,102,1,1
116,3,1,251,317,0,1
116,4,0,251,361,1,1
116,5,1,256,366,0,1
116,6,0,256,370,1,1
116,7,1,321,435,0,1
116,8,0,321,438,1,1
116,9,1,324,441,0,1
116,10,0,324,446,1,1
116,11,1,336,458,0,1
116,12,0,336,530,1,1
116,13,1,369,562,0,1
116,14,0,369,565,1,1
117,0,0,0,1,1,1
117,1,1,157,157,0,1
117,2,0,157,164,1,1
117,3,2,158,177,1,1
117,4,1,158,177,0,1
117,5,0,158,184,1,1
117,6,3,165,187,1,1
117,7,1,249,272,0,1
117,8,0,249,275,1,1
117,9,1,251,277,0,1
117,10,0,251,280,1,1
117,11,1,264,294,0,1
117,12,0,264,296,1,1
117,13,1,270,302,0,1
117,14,0,270,431,1,1
117,15,1,281,442,0,1
117,16,0,281,453,1,1
117,17,1,284,456,0,1
117,18,0,284,460,1,1
117,19,1,285,461,0,1
117,20,0,285,468,1,1
118,0,0,0,1,1,1.0
118,1,3,13,6,1,1.0
118,2,2,8,7,1,1.0
118,3,4,19,19,1,1.5
119,0,0,0,0,1,1.0
119,1,4,0,1,1,2.0
120,0,0,0,0,1,1.0
120,1,4,0,1,1,2.0
121,0,0,0,0,1,1.0
121,1,4,0,1,1,2.0
122,0,0,0,0,1,1.0
122,1,4,0,1,1,2.0
123,0,0,0,0,1,1.0
123,1,4,0,1,1,2.0
124,0,0,0,0,1,1.0
124,1,4,0,1,1,2.0
125,0,0,0,0,1,1.0
125,1,4,0,1,1,2.0
126,0,0,0,0,1,1.0
126,1,4,0,1,1,2.0
127,0,0,0,0,1,1.0
127,1,4,0,1,1,2.0
128,0,0,0,0,1,1.0
128,1,4,0,1,1,2.0
129,0,0,0,0,1,1.0
129,1,4,0,1,1,2.0
130,0,0,0,0,1,1.0
130,1,4,0,1,1,2.0
131,0,0,0,0,1,1.0
131,1,4,0,1,1,2.0
132,0,0,0,0,1,1.0
132,1,4,0,1,1,2.0
133,0,0,0,0,1,1.0
133,1,4,0,1,1,2.0
134,0,0,0,0,1,1.0
134,1,4,0,1,1,2.0
135,0,0,0,0,1,1.0
135,1,4,0,1,1,2.0
136,0,0,0,1,1,1.0
136,1,4,2,4,1,2.0
137,0,0,0,1,1,1
137,1,2,71,77,1,1
137,2,3,206,113,1,1
137,3,2,61,115,1,1
137,4,1,75,128,0,1
137,5,0,75,188,1,1
137,6,2,141,258,1,1
137,7,1,142,259,0,1
137,8,0,142,263,1,1
137,9,1,159,280,0,1
137,10,0,159,328,1,1
137,11,1,180,349,0,1
137,12,0,180,368,1,1
137,13,1,182,370,0,1
137,14,0,182,380,1,1
137,15,1,184,382,0,1
137,16,0,184,393,1,1
137,17,1,186,395,0,1
137,18,0,186,402,1,1
137,19,2,250,471,1,1
137,20,1,251,472,0,1
137,21,0,251,533,1,1
